NOGRID,LON,LAT,b20,b50,b100,b150,a20,a50,a100,a150,a200,a300
153594,117.9,-8.85,3.9216,21.5686,58.8235,70.5882,96.0784,78.4314,41.1765,29.4118,9.8039,1.9608
135115,115.15,-8.8,5.8824,17.6471,41.1765,74.5098,94.1176,82.3529,58.8235,25.4902,15.6863,1.9608
135451,115.2,-8.8,5.8824,17.6471,41.1765,74.5098,94.1176,82.3529,58.8235,25.4902,15.6863,0
137803,115.55,-8.8,3.9216,13.7255,39.2157,62.7451,96.0784,86.2745,60.7843,37.2549,17.6471,0
138139,115.6,-8.8,3.9216,13.7255,41.1765,62.7451,96.0784,86.2745,58.8235,37.2549,17.6471,0
139819,115.85,-8.8,5.8824,21.5686,54.902,72.549,94.1176,78.4314,45.098,27.451,5.8824,0
140155,115.9,-8.8,7.8431,21.5686,56.8627,72.549,92.1569,78.4314,43.1373,27.451,5.8824,0
140491,115.95,-8.8,7.8431,21.5686,56.8627,72.549,92.1569,78.4314,43.1373,27.451,5.8824,0
140827,116,-8.8,7.8431,21.5686,58.8235,72.549,92.1569,78.4314,41.1765,27.451,5.8824,0
141163,116.05,-8.8,7.8431,21.5686,54.902,72.549,92.1569,78.4314,45.098,27.451,3.9216,0
141499,116.1,-8.8,7.8431,21.5686,54.902,72.549,92.1569,78.4314,45.098,27.451,5.8824,0
141835,116.15,-8.8,7.8431,19.6078,52.9412,74.5098,92.1569,80.3922,47.0588,25.4902,9.8039,0
142171,116.2,-8.8,7.8431,17.6471,52.9412,72.549,92.1569,82.3529,47.0588,27.451,9.8039,0
142507,116.25,-8.8,7.8431,17.6471,52.9412,72.549,92.1569,82.3529,47.0588,27.451,9.8039,0
142843,116.3,-8.8,5.8824,17.6471,52.9412,70.5882,94.1176,82.3529,47.0588,29.4118,9.8039,0
143179,116.35,-8.8,5.8824,17.6471,52.9412,70.5882,94.1176,82.3529,47.0588,29.4118,9.8039,0
143515,116.4,-8.8,7.8431,17.6471,54.902,74.5098,92.1569,82.3529,45.098,25.4902,7.8431,0
143851,116.45,-8.8,7.8431,29.4118,58.8235,80.3922,92.1569,70.5882,41.1765,19.6078,7.8431,0
144187,116.5,-8.8,7.8431,29.4118,58.8235,82.3529,92.1569,70.5882,41.1765,17.6471,3.9216,0
146539,116.85,-8.8,5.8824,45.098,78.4314,98.0392,94.1176,54.902,21.5686,1.9608,0,0
146875,116.9,-8.8,5.8824,45.098,76.4706,92.1569,94.1176,54.902,23.5294,7.8431,0,0
147211,116.95,-8.8,5.8824,41.1765,66.6667,92.1569,94.1176,58.8235,33.3333,7.8431,0,0
147547,117,-8.8,5.8824,41.1765,66.6667,92.1569,94.1176,58.8235,33.3333,7.8431,0,0
147883,117.05,-8.8,5.8824,41.1765,66.6667,94.1176,94.1176,58.8235,33.3333,5.8824,0,0
148219,117.1,-8.8,5.8824,41.1765,64.7059,94.1176,94.1176,58.8235,35.2941,5.8824,0,0
148555,117.15,-8.8,5.8824,39.2157,64.7059,94.1176,94.1176,60.7843,35.2941,5.8824,0,0
148891,117.2,-8.8,5.8824,29.4118,64.7059,94.1176,94.1176,70.5882,35.2941,5.8824,0,0
149227,117.25,-8.8,5.8824,27.451,64.7059,88.2353,94.1176,72.549,35.2941,11.7647,1.9608,0
149563,117.3,-8.8,5.8824,25.4902,64.7059,84.3137,94.1176,74.5098,35.2941,15.6863,1.9608,0
149899,117.35,-8.8,5.8824,21.5686,62.7451,84.3137,94.1176,78.4314,37.2549,15.6863,1.9608,0
150235,117.4,-8.8,5.8824,19.6078,60.7843,84.3137,94.1176,80.3922,39.2157,15.6863,1.9608,0
150571,117.45,-8.8,3.9216,19.6078,56.8627,78.4314,96.0784,80.3922,43.1373,21.5686,3.9216,0
150907,117.5,-8.8,3.9216,17.6471,56.8627,70.5882,96.0784,82.3529,43.1373,29.4118,5.8824,0
151243,117.55,-8.8,3.9216,15.6863,52.9412,68.6275,96.0784,84.3137,47.0588,31.3725,5.8824,0
151579,117.6,-8.8,3.9216,15.6863,52.9412,68.6275,96.0784,84.3137,47.0588,31.3725,9.8039,1.9608
151915,117.65,-8.8,3.9216,15.6863,50.9804,68.6275,96.0784,84.3137,49.0196,31.3725,13.7255,1.9608
152251,117.7,-8.8,3.9216,11.7647,47.0588,68.6275,96.0784,88.2353,52.9412,31.3725,19.6078,1.9608
152587,117.75,-8.8,3.9216,11.7647,45.098,64.7059,96.0784,88.2353,54.902,35.2941,23.5294,1.9608
152923,117.8,-8.8,3.9216,11.7647,47.0588,68.6275,96.0784,88.2353,52.9412,31.3725,21.5686,1.9608
153259,117.85,-8.8,3.9216,13.7255,49.0196,70.5882,96.0784,86.2745,50.9804,29.4118,13.7255,1.9608
153595,117.9,-8.8,3.9216,21.5686,60.7843,70.5882,96.0784,78.4314,39.2157,29.4118,3.9216,1.9608
130076,114.4,-8.75,7.8431,23.5294,74.5098,88.2353,92.1569,76.4706,25.4902,11.7647,0,0
130412,114.45,-8.75,7.8431,23.5294,72.549,88.2353,92.1569,76.4706,27.451,11.7647,0,0
130748,114.5,-8.75,7.8431,23.5294,72.549,90.1961,92.1569,76.4706,27.451,9.8039,0,0
131084,114.55,-8.75,7.8431,23.5294,72.549,88.2353,92.1569,76.4706,27.451,11.7647,1.9608,0
137468,115.5,-8.75,5.8824,13.7255,41.1765,60.7843,94.1176,86.2745,58.8235,39.2157,17.6471,0
137804,115.55,-8.75,3.9216,13.7255,41.1765,62.7451,96.0784,86.2745,58.8235,37.2549,17.6471,0
138140,115.6,-8.75,5.8824,13.7255,41.1765,66.6667,94.1176,86.2745,58.8235,33.3333,11.7647,0
139820,115.85,-8.75,5.8824,21.5686,56.8627,74.5098,94.1176,78.4314,43.1373,25.4902,3.9216,0
140156,115.9,-8.75,7.8431,21.5686,58.8235,78.4314,92.1569,78.4314,41.1765,21.5686,1.9608,0
140492,115.95,-8.75,7.8431,21.5686,60.7843,80.3922,92.1569,78.4314,39.2157,19.6078,0,0
140828,116,-8.75,7.8431,23.5294,60.7843,80.3922,92.1569,76.4706,39.2157,19.6078,0,0
141500,116.1,-8.75,7.8431,25.4902,60.7843,84.3137,92.1569,74.5098,39.2157,15.6863,0,0
141836,116.15,-8.75,7.8431,23.5294,58.8235,84.3137,92.1569,76.4706,41.1765,15.6863,0,0
142172,116.2,-8.75,7.8431,25.4902,58.8235,84.3137,92.1569,74.5098,41.1765,15.6863,1.9608,0
142508,116.25,-8.75,7.8431,17.6471,54.902,82.3529,92.1569,82.3529,45.098,17.6471,7.8431,0
142844,116.3,-8.75,7.8431,17.6471,52.9412,72.549,92.1569,82.3529,47.0588,27.451,9.8039,0
143180,116.35,-8.75,7.8431,17.6471,54.902,74.5098,92.1569,82.3529,45.098,25.4902,7.8431,0
143516,116.4,-8.75,7.8431,25.4902,56.8627,80.3922,92.1569,74.5098,43.1373,19.6078,7.8431,0
143852,116.45,-8.75,7.8431,29.4118,60.7843,86.2745,92.1569,70.5882,39.2157,13.7255,3.9216,0
144188,116.5,-8.75,7.8431,29.4118,62.7451,90.1961,92.1569,70.5882,37.2549,9.8039,0,0
146204,116.8,-8.75,9.8039,47.0588,80.3922,100,90.1961,52.9412,19.6078,0,0,0
146540,116.85,-8.75,7.8431,47.0588,82.3529,100,92.1569,52.9412,17.6471,0,0,0
146876,116.9,-8.75,5.8824,45.098,78.4314,100,94.1176,54.902,21.5686,0,0,0
147212,116.95,-8.75,5.8824,43.1373,76.4706,98.0392,94.1176,56.8627,23.5294,1.9608,0,0
147548,117,-8.75,7.8431,39.2157,70.5882,96.0784,92.1569,60.7843,29.4118,3.9216,0,0
147884,117.05,-8.75,5.8824,39.2157,68.6275,96.0784,94.1176,60.7843,31.3725,3.9216,0,0
148220,117.1,-8.75,5.8824,39.2157,64.7059,94.1176,94.1176,60.7843,35.2941,5.8824,0,0
148556,117.15,-8.75,5.8824,31.3725,64.7059,94.1176,94.1176,68.6275,35.2941,5.8824,0,0
148892,117.2,-8.75,5.8824,29.4118,64.7059,92.1569,94.1176,70.5882,35.2941,7.8431,0,0
149228,117.25,-8.75,5.8824,27.451,64.7059,84.3137,94.1176,72.549,35.2941,15.6863,1.9608,0
149564,117.3,-8.75,5.8824,21.5686,62.7451,84.3137,94.1176,78.4314,37.2549,15.6863,1.9608,0
149900,117.35,-8.75,5.8824,21.5686,62.7451,84.3137,94.1176,78.4314,37.2549,15.6863,1.9608,0
150236,117.4,-8.75,3.9216,19.6078,58.8235,84.3137,96.0784,80.3922,41.1765,15.6863,1.9608,0
150572,117.45,-8.75,3.9216,19.6078,56.8627,78.4314,96.0784,80.3922,43.1373,21.5686,1.9608,0
150908,117.5,-8.75,3.9216,15.6863,54.902,72.549,96.0784,84.3137,45.098,27.451,3.9216,0
151244,117.55,-8.75,3.9216,15.6863,54.902,70.5882,96.0784,84.3137,45.098,29.4118,5.8824,0
151580,117.6,-8.75,3.9216,15.6863,52.9412,68.6275,96.0784,84.3137,47.0588,31.3725,7.8431,1.9608
151916,117.65,-8.75,3.9216,13.7255,50.9804,68.6275,96.0784,86.2745,49.0196,31.3725,15.6863,1.9608
152252,117.7,-8.75,3.9216,11.7647,45.098,66.6667,96.0784,88.2353,54.902,33.3333,21.5686,1.9608
152588,117.75,-8.75,3.9216,11.7647,45.098,64.7059,96.0784,88.2353,54.902,35.2941,21.5686,1.9608
152924,117.8,-8.75,3.9216,11.7647,49.0196,70.5882,96.0784,88.2353,50.9804,29.4118,15.6863,1.9608
153260,117.85,-8.75,3.9216,13.7255,54.902,70.5882,96.0784,86.2745,45.098,29.4118,11.7647,1.9608
153596,117.9,-8.75,3.9216,19.6078,60.7843,76.4706,96.0784,80.3922,39.2157,23.5294,1.9608,1.9608
130077,114.4,-8.7,7.8431,23.5294,72.549,88.2353,92.1569,76.4706,27.451,11.7647,1.9608,0
130413,114.45,-8.7,7.8431,23.5294,72.549,90.1961,92.1569,76.4706,27.451,9.8039,1.9608,0
130749,114.5,-8.7,7.8431,23.5294,72.549,90.1961,92.1569,76.4706,27.451,9.8039,1.9608,0
131085,114.55,-8.7,7.8431,23.5294,72.549,88.2353,92.1569,76.4706,27.451,11.7647,1.9608,0
135453,115.2,-8.7,3.9216,17.6471,35.2941,74.5098,96.0784,82.3529,64.7059,25.4902,15.6863,0
135789,115.25,-8.7,5.8824,17.6471,41.1765,78.4314,94.1176,82.3529,58.8235,21.5686,11.7647,0
137133,115.45,-8.7,5.8824,15.6863,41.1765,76.4706,94.1176,84.3137,58.8235,23.5294,9.8039,0
137469,115.5,-8.7,5.8824,15.6863,41.1765,70.5882,94.1176,84.3137,58.8235,29.4118,9.8039,0
137805,115.55,-8.7,5.8824,15.6863,47.0588,76.4706,94.1176,84.3137,52.9412,23.5294,9.8039,0
141501,116.1,-8.7,7.8431,31.3725,64.7059,88.2353,92.1569,68.6275,35.2941,11.7647,0,0
141837,116.15,-8.7,7.8431,29.4118,64.7059,88.2353,92.1569,70.5882,35.2941,11.7647,0,0
142173,116.2,-8.7,7.8431,29.4118,62.7451,88.2353,92.1569,70.5882,37.2549,11.7647,0,0
142509,116.25,-8.7,7.8431,23.5294,56.8627,86.2745,92.1569,76.4706,43.1373,13.7255,3.9216,0
142845,116.3,-8.7,7.8431,17.6471,54.902,78.4314,92.1569,82.3529,45.098,21.5686,5.8824,0
143181,116.35,-8.7,7.8431,23.5294,56.8627,82.3529,92.1569,76.4706,43.1373,17.6471,5.8824,0
143517,116.4,-8.7,7.8431,29.4118,60.7843,86.2745,92.1569,70.5882,39.2157,13.7255,0,0
143853,116.45,-8.7,7.8431,29.4118,62.7451,92.1569,92.1569,70.5882,37.2549,7.8431,0,0
144189,116.5,-8.7,7.8431,29.4118,64.7059,92.1569,92.1569,70.5882,35.2941,7.8431,0,0
144525,116.55,-8.7,5.8824,33.3333,68.6275,92.1569,94.1176,66.6667,31.3725,7.8431,0,0
146205,116.8,-8.7,9.8039,49.0196,88.2353,100,90.1961,50.9804,11.7647,0,0,0
146541,116.85,-8.7,9.8039,47.0588,86.2745,100,90.1961,52.9412,13.7255,0,0,0
146877,116.9,-8.7,9.8039,45.098,80.3922,100,90.1961,54.902,19.6078,0,0,0
147213,116.95,-8.7,7.8431,45.098,80.3922,100,92.1569,54.902,19.6078,0,0,0
147549,117,-8.7,7.8431,39.2157,74.5098,98.0392,92.1569,60.7843,25.4902,1.9608,0,0
147885,117.05,-8.7,7.8431,39.2157,70.5882,98.0392,92.1569,60.7843,29.4118,1.9608,0,0
148221,117.1,-8.7,5.8824,35.2941,64.7059,96.0784,94.1176,64.7059,35.2941,3.9216,0,0
148557,117.15,-8.7,5.8824,31.3725,64.7059,94.1176,94.1176,68.6275,35.2941,3.9216,0,0
148893,117.2,-8.7,5.8824,29.4118,62.7451,84.3137,94.1176,70.5882,37.2549,15.6863,1.9608,0
149229,117.25,-8.7,5.8824,23.5294,60.7843,82.3529,94.1176,76.4706,39.2157,17.6471,1.9608,0
149565,117.3,-8.7,5.8824,21.5686,60.7843,82.3529,94.1176,78.4314,39.2157,17.6471,1.9608,0
149901,117.35,-8.7,3.9216,19.6078,60.7843,82.3529,96.0784,80.3922,39.2157,17.6471,1.9608,0
150237,117.4,-8.7,3.9216,19.6078,58.8235,82.3529,96.0784,80.3922,41.1765,17.6471,1.9608,0
150573,117.45,-8.7,3.9216,19.6078,56.8627,78.4314,96.0784,80.3922,43.1373,21.5686,1.9608,0
150909,117.5,-8.7,3.9216,15.6863,54.902,78.4314,96.0784,84.3137,45.098,21.5686,1.9608,0
151245,117.55,-8.7,3.9216,15.6863,54.902,74.5098,96.0784,84.3137,45.098,25.4902,1.9608,0
151581,117.6,-8.7,3.9216,15.6863,54.902,72.549,96.0784,84.3137,45.098,27.451,1.9608,0
151917,117.65,-8.7,3.9216,13.7255,50.9804,70.5882,96.0784,86.2745,49.0196,29.4118,9.8039,1.9608
152253,117.7,-8.7,3.9216,11.7647,50.9804,70.5882,96.0784,88.2353,49.0196,29.4118,15.6863,1.9608
152589,117.75,-8.7,3.9216,11.7647,49.0196,70.5882,96.0784,88.2353,50.9804,29.4118,15.6863,1.9608
130078,114.4,-8.65,7.8431,25.4902,72.549,90.1961,92.1569,74.5098,27.451,9.8039,1.9608,0
130414,114.45,-8.65,7.8431,23.5294,72.549,90.1961,92.1569,76.4706,27.451,9.8039,1.9608,0
130750,114.5,-8.65,7.8431,23.5294,70.5882,90.1961,92.1569,76.4706,29.4118,9.8039,1.9608,0
135118,115.15,-8.65,3.9216,15.6863,35.2941,74.5098,96.0784,84.3137,64.7059,25.4902,15.6863,0
135454,115.2,-8.65,3.9216,17.6471,37.2549,78.4314,96.0784,82.3529,62.7451,21.5686,13.7255,0
135790,115.25,-8.65,5.8824,17.6471,43.1373,80.3922,94.1176,82.3529,56.8627,19.6078,11.7647,0
141502,116.1,-8.65,7.8431,31.3725,66.6667,88.2353,92.1569,68.6275,33.3333,11.7647,0,0
141838,116.15,-8.65,7.8431,29.4118,66.6667,88.2353,92.1569,70.5882,33.3333,11.7647,0,0
142174,116.2,-8.65,7.8431,27.451,64.7059,88.2353,92.1569,72.549,35.2941,11.7647,0,0
142510,116.25,-8.65,7.8431,27.451,64.7059,88.2353,92.1569,72.549,35.2941,11.7647,0,0
